SOA,SOA Code,All usual residents: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years,Married: Aged 16+ years,In a registered same-sex civil partnership: Aged 16+ years,Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years,Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years,Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years (%),Married: Aged 16+ years (%),In a registered same-sex civil partnership: Aged 16+ years (%),Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years (%),Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years (%),Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years (%)
Island 1,95GG29S1,1754,778,526,2,118,190,140,44.36,29.99,0.11,6.73,10.83,7.98
Island 2,95GG29S2,2238,1064,720,4,107,193,150,47.54,32.17,0.18,4.78,8.62,6.7
Knock 1,95GG30S1,1315,419,578,0,65,113,140,31.86,43.95,0,4.94,8.59,10.65
Knock 2,95GG30S2,1347,357,788,0,42,72,88,26.5,58.5,0,3.12,5.35,6.53
Knock 3,95GG30S3,1285,356,750,0,30,54,95,27.7,58.37,0,2.33,4.2,7.39
Ladybrook 1,95GG31S1,1760,661,877,0,82,55,85,37.56,49.83,0,4.66,3.13,4.83
Ladybrook 2,95GG31S2,1652,657,695,0,83,82,135,39.77,42.07,0,5.02,4.96,8.17
Ladybrook 3,95GG31S3,1703,807,544,1,132,106,113,47.39,31.94,0.06,7.75,6.22,6.64
Legoniel 1,95GG32S1,2308,1014,841,1,199,137,116,43.93,36.44,0.04,8.62,5.94,5.03
Legoniel 2,95GG32S2,1250,485,503,2,67,81,112,38.8,40.24,0.16,5.36,6.48,8.96
Legoniel 3,95GG32S3,1357,508,615,0,55,68,111,37.44,45.32,0,4.05,5.01,8.18
Malone 1,95GG33S1,1595,524,912,2,25,40,92,32.85,57.18,0.13,1.57,2.51,5.77
Malone 2,95GG33S2,1338,429,739,0,26,38,106,32.06,55.23,0,1.94,2.84,7.92
Malone 3,95GG33S3,1601,730,681,2,31,63,94,45.6,42.54,0.12,1.94,3.94,5.87
Musgrave 1,95GG34S1,1150,448,436,0,46,104,116,38.96,37.91,0,4,9.04,10.09
Musgrave 2,95GG34S2,1334,440,737,0,41,49,67,32.98,55.25,0,3.07,3.67,5.02
Musgrave 3,95GG34S3,1573,623,721,5,53,61,110,39.61,45.84,0.32,3.37,3.88,6.99
New Lodge 1,95GG35S1,1606,812,346,0,169,111,168,50.56,21.54,0,10.52,6.91,10.46
New Lodge 2,95GG35S2,1206,622,232,1,123,115,113,51.58,19.24,0.08,10.2,9.54,9.37
New Lodge 3,95GG35S3,1119,598,271,2,90,79,79,53.44,24.22,0.18,8.04,7.06,7.06
Orangefield 1,95GG36S1,1481,567,651,3,52,90,118,38.28,43.96,0.2,3.51,6.08,7.97
Orangefield 2,95GG36S2,1582,469,849,5,34,75,150,29.65,53.67,0.32,2.15,4.74,9.48
Orangefield 3,95GG36S3,1562,523,799,6,37,71,126,33.48,51.15,0.38,2.37,4.55,8.07
Ravenhill 1,95GG37S1,1714,663,851,4,34,52,110,38.68,49.65,0.23,1.98,3.03,6.42
Ravenhill 2,95GG37S2,1545,700,612,6,31,83,113,45.31,39.61,0.39,2.01,5.37,7.31
Ravenhill 3,95GG37S3,1859,1096,518,1,49,98,97,58.96,27.86,0.05,2.64,5.27,5.22
Rosetta 1,95GG38S1,2633,1269,993,2,79,127,163,48.2,37.71,0.08,3,4.82,6.19
Rosetta 2,95GG38S2,1591,801,514,6,53,84,133,50.35,32.31,0.38,3.33,5.28,8.36
Rosetta 3,95GG38S3,1287,493,587,0,34,47,126,38.31,45.61,0,2.64,3.65,9.79
Shaftesbury 1,95GG39S1,2034,1179,492,3,138,121,101,57.96,24.19,0.15,6.78,5.95,4.97
Shaftesbury 2,95GG39S2,2327,1339,472,1,144,220,151,57.54,20.28,0.04,6.19,9.45,6.49
Shaftesbury 3,95GG39S3,1773,1023,347,1,101,141,160,57.7,19.57,0.06,5.7,7.95,9.02
Shankill 1,95GG40S1,1294,577,358,1,118,109,131,44.59,27.67,0.08,9.12,8.42,10.12
Shankill 2,95GG40S2,1726,780,410,2,136,196,202,45.19,23.75,0.12,7.88,11.36,11.7
Stormont 1,95GG41S1,1619,339,1056,2,31,52,139,20.94,65.23,0.12,1.91,3.21,8.59
Stormont 2,95GG41S2,1246,305,777,9,26,33,96,24.48,62.36,0.72,2.09,2.65,7.7
Stormont 3,95GG41S3,1658,540,790,5,48,91,184,32.57,47.65,0.3,2.9,5.49,11.1
Stranmillis 1,95GG42S1,1472,483,832,4,22,41,90,32.81,56.52,0.27,1.49,2.79,6.11
Stranmillis 2,95GG42S2,1708,1453,200,4,7,15,29,85.07,11.71,0.23,0.41,0.88,1.7
Stranmillis 3,95GG42S3,2062,1587,387,1,19,38,30,76.96,18.77,0.05,0.92,1.84,1.45
Stranmillis 4,95GG42S4,1878,912,777,0,37,61,91,48.56,41.37,0,1.97,3.25,4.85
Sydenham 1,95GG43S1,1259,503,431,4,86,89,146,39.95,34.23,0.32,6.83,7.07,11.6
Sydenham 2,95GG43S2,1396,485,670,2,45,82,112,34.74,47.99,0.14,3.22,5.87,8.02
Sydenham 3,95GG43S3,1432,625,499,2,71,110,125,43.65,34.85,0.14,4.96,7.68,8.73
The Mount 1,95GG44S1,2316,1292,511,5,126,250,132,55.79,22.06,0.22,5.44,10.79,5.7
The Mount 2,95GG44S2,2168,1089,553,9,147,235,135,50.23,25.51,0.42,6.78,10.84,6.23
Upper Malone 1,95GG45S1,1408,369,838,0,41,39,121,26.21,59.52,0,2.91,2.77,8.59
Upper Malone 2,95GG45S2,1226,523,396,0,74,120,113,42.66,32.3,0,6.04,9.79,9.22
Upper Malone 3,95GG45S3,1322,537,557,0,53,67,108,40.62,42.13,0,4.01,5.07,8.17
Upper Springfield 1,95GG46S1,1348,642,393,0,132,85,96,47.63,29.15,0,9.79,6.31,7.12
Upper Springfield 2,95GG46S2,1418,669,409,0,141,80,119,47.18,28.84,0,9.94,5.64,8.39
Upper Springfield 3,95GG46S3,1326,659,318,0,154,74,121,49.7,23.98,0,11.61,5.58,9.13
Water Works 1,95GG47S1,1831,1007,399,6,146,147,126,55,21.79,0.33,7.97,8.03,6.88
Water Works 2,95GG47S2,1373,679,350,2,117,99,126,49.45,25.49,0.15,8.52,7.21,9.18
Water Works 3,95GG47S3,1425,749,332,0,112,122,110,52.56,23.3,0,7.86,8.56,7.72
Whiterock 1,95GG48S1,1222,647,323,0,101,67,84,52.95,26.43,0,8.27,5.48,6.87
Whiterock 2,95GG48S2,1661,923,308,2,202,96,130,55.57,18.54,0.12,12.16,5.78,7.83
Whiterock 3,95GG48S3,1259,669,289,0,143,60,98,53.14,22.95,0,11.36,4.77,7.78
Windsor 1,95GG49S1,1441,885,384,0,39,59,74,61.42,26.65,0,2.71,4.09,5.14
Windsor 2,95GG49S2,2123,1658,335,5,21,53,51,78.1,15.78,0.24,0.99,2.5,2.4
Windsor 3,95GG49S3,1976,1641,216,4,23,41,51,83.05,10.93,0.2,1.16,2.07,2.58
Windsor 4,95GG49S4,1935,1572,234,6,26,41,56,81.24,12.09,0.31,1.34,2.12,2.89
Woodstock 1,95GG50S1,1275,673,351,2,64,101,84,52.78,27.53,0.16,5.02,7.92,6.59
Woodstock 2,95GG50S2,1637,886,373,1,78,155,144,54.12,22.79,0.06,4.76,9.47,8.8
Woodstock 3,95GG50S3,1565,830,411,4,88,124,108,53.04,26.26,0.26,5.62,7.92,6.9
Woodvale 1,95GG51S1,1081,445,365,0,85,88,98,41.17,33.77,0,7.86,8.14,9.07
Woodvale 2,95GG51S2,1143,465,354,3,88,110,123,40.68,30.97,0.26,7.7,9.62,10.76
Woodvale 3,95GG51S3,1095,489,275,2,83,121,125,44.66,25.11,0.18,7.58,11.05,11.42
Blackhead,95HH01W1,1711,485,858,2,54,128,184,28.35,50.15,0.12,3.16,7.48,10.75
Bluefield 1,95HH02S1,1088,292,652,1,38,42,63,26.84,59.93,0.09,3.49,3.86,5.79
Bluefield 2,95HH02S2,1205,296,795,0,34,52,28,24.56,65.98,0,2.82,4.32,2.32
Boneybefore,95HH03W1,1404,298,869,0,44,55,138,21.23,61.89,0,3.13,3.92,9.83
Burleigh Hill 1,95HH04S1,1378,375,821,4,52,69,57,27.21,59.58,0.29,3.77,5.01,4.14
Burleigh Hill 2,95HH04S2,1153,298,721,0,28,40,66,25.85,62.53,0,2.43,3.47,5.72
Clipperstown,95HH05W1,1630,615,659,0,114,133,109,37.73,40.43,0,6.99,8.16,6.69
Eden 1,95HH06S1,1655,447,1038,0,54,60,56,27.01,62.72,0,3.26,3.63,3.38
Eden 2,95HH06S2,1956,588,1112,0,73,104,79,30.06,56.85,0,3.73,5.32,4.04
Gortalee,95HH07W1,1234,479,453,0,87,98,117,38.82,36.71,0,7.05,7.94,9.48
Greenisland,95HH08W1,2169,684,1137,4,68,121,155,31.54,52.42,0.18,3.14,5.58,7.15
Killycrot,95HH09W1,2301,864,776,6,137,233,285,37.55,33.72,0.26,5.95,10.13,12.39
Knockagh,95HH10W1,1923,464,1182,2,62,110,103,24.13,61.47,0.1,3.22,5.72,5.36
Love Lane,95HH11W1,1143,384,425,5,76,114,139,33.6,37.18,0.44,6.65,9.97,12.16
Milebush,95HH12W1,1252,364,678,3,59,68,80,29.07,54.15,0.24,4.71,5.43,6.39
Northland,95HH13W1,1052,430,380,0,73,102,67,40.87,36.12,0,6.94,9.7,6.37
Sunnylands,95HH14W1,1281,427,483,0,78,136,157,33.33,37.7,0,6.09,10.62,12.26
Victoria (Carrickfergus LGD),95HH15W1,2154,707,996,2,93,149,207,32.82,46.24,0.09,4.32,6.92,9.61
Whitehead,95HH16W1,1767,494,940,4,61,114,154,27.96,53.2,0.23,3.45,6.45,8.72
Woodburn,95HH17W1,1953,538,1157,0,57,110,91,27.55,59.24,0,2.92,5.63,4.66
Ballyhanwood 1,95II01S1,1282,349,728,0,28,80,97,27.22,56.79,0,2.18,6.24,7.57
Ballyhanwood 2,95II01S2,1313,325,834,0,19,41,94,24.75,63.52,0,1.45,3.12,7.16
Beechill 1,95II02S1,1385,486,712,0,27,56,104,35.09,51.41,0,1.95,4.04,7.51
Beechill 2,95II02S2,1309,417,680,2,42,90,78,31.86,51.95,0.15,3.21,6.88,5.96
Beechill 3,95II02S3,1283,477,505,1,53,96,151,37.18,39.36,0.08,4.13,7.48,11.77
Cairnshill 1,95II03S1,1290,390,793,0,22,48,37,30.23,61.47,0,1.71,3.72,2.87
Cairnshill 2,95II03S2,1462,471,842,2,35,65,47,32.22,57.59,0.14,2.39,4.45,3.21
Carrowreagh 1,95II04S1,1838,491,1123,8,61,66,89,26.71,61.1,0.44,3.32,3.59,4.84
Carrowreagh 2,95II04S2,1528,516,702,2,94,114,100,33.77,45.94,0.13,6.15,7.46,6.54
Carryduff East 1,95II05S1,1324,449,734,2,28,44,67,33.91,55.44,0.15,2.11,3.32,5.06
Carryduff East 2,95II05S2,1530,459,731,0,53,89,198,30,47.78,0,3.46,5.82,12.94
Carryduff West 1,95II06S1,1169,327,717,1,29,44,51,27.97,61.33,0.09,2.48,3.76,4.36
Carryduff West 2,95II06S2,1479,497,779,0,52,77,74,33.6,52.67,0,3.52,5.21,5
Cregagh,95II07W1,1687,632,595,0,94,145,221,37.46,35.27,0,5.57,8.6,13.1
Downshire,95II08W1,1983,668,920,0,70,143,182,33.69,46.39,0,3.53,7.21,9.18
Dundonald 1,95II09S1,1605,477,839,2,40,97,150,29.72,52.27,0.12,2.49,6.04,9.35
Dundonald 2,95II09S2,1107,304,640,0,34,66,63,27.46,57.81,0,3.07,5.96,5.69
Enler,95II10W1,2118,729,875,2,124,189,199,34.42,41.31,0.09,5.85,8.92,9.4
Galwally,95II11W1,2105,642,1178,2,51,92,140,30.5,55.96,0.1,2.42,4.37,6.65
Gilnahirk,95II12W1,2036,519,1199,3,49,87,179,25.49,58.89,0.15,2.41,4.27,8.79
Graham's Bridge,95II13W1,2198,697,1014,2,104,182,199,31.71,46.13,0.09,4.73,8.28,9.05
Hillfoot,95II14W1,2123,567,1254,2,39,72,189,26.71,59.07,0.09,1.84,3.39,8.9
Knockbracken 1,95II15S1,1373,446,788,0,38,50,51,32.48,57.39,0,2.77,3.64,3.71
Knockbracken 2,95II15S2,1296,320,792,4,24,49,107,24.69,61.11,0.31,1.85,3.78,8.26
Lisnasharragh,95II16W1,1748,529,904,0,55,97,163,30.26,51.72,0,3.15,5.55,9.32
Lower Braniel,95II17W1,2085,641,991,0,91,162,200,30.74,47.53,0,4.36,7.77,9.59
Minnowburn,95II18W1,1861,671,746,0,88,153,203,36.06,40.09,0,4.73,8.22,10.91
Moneyreagh 1,95II19S1,1450,385,923,0,28,44,70,26.55,63.66,0,1.93,3.03,4.83
Moneyreagh 2,95II19S2,1615,446,962,0,33,79,95,27.62,59.57,0,2.04,4.89,5.88
Newtownbreda,95II20W1,2284,832,1072,0,81,130,169,36.43,46.94,0,3.55,5.69,7.4
Tullycarnet,95II21W1,1879,704,748,0,106,179,142,37.47,39.81,0,5.64,9.53,7.56
Upper Braniel,95II22W1,1854,510,987,1,61,121,174,27.51,53.24,0.05,3.29,6.53,9.39
Wynchurch,95II23W1,1801,631,880,4,48,96,142,35.04,48.86,0.22,2.67,5.33,7.88
Agivey,95JJ01W1,1993,583,1165,2,37,92,114,29.25,58.45,0.1,1.86,4.62,5.72
Atlantic,95JJ02W1,1960,675,933,2,74,148,128,34.44,47.6,0.1,3.78,7.55,6.53
Ballysally 1,95JJ03S1,1027,436,366,2,58,127,38,42.45,35.64,0.19,5.65,12.37,3.7
Ballysally 2,95JJ03S2,785,301,346,0,37,60,41,38.34,44.08,0,4.71,7.64,5.22
Castlerock 1,95JJ04S1,1226,356,684,0,47,63,76,29.04,55.79,0,3.83,5.14,6.2
Castlerock 2,95JJ04S2,1275,333,721,0,47,84,90,26.12,56.55,0,3.69,6.59,7.06
Central (Coleraine LGD),95JJ05W1,1597,629,549,0,71,134,214,39.39,34.38,0,4.45,8.39,13.4
Churchland,95JJ06W1,1914,745,722,1,96,184,166,38.92,37.72,0.05,5.02,9.61,8.67
Cross Glebe,95JJ07W1,2035,803,717,1,97,233,184,39.46,35.23,0.05,4.77,11.45,9.04
Dundooan 1,95JJ08S1,1154,351,658,0,23,42,80,30.42,57.02,0,1.99,3.64,6.93
Dundooan 2,95JJ08S2,1524,734,620,2,55,46,67,48.16,40.68,0.13,3.61,3.02,4.4
Dunluce,95JJ09W1,1700,424,1004,0,40,85,147,24.94,59.06,0,2.35,5,8.65
Garvagh,95JJ10W1,2122,703,1095,1,59,85,179,33.13,51.6,0.05,2.78,4.01,8.44
Hopefield 1,95JJ11S1,1424,419,788,0,38,90,89,29.42,55.34,0,2.67,6.32,6.25
Hopefield 2,95JJ11S2,1535,464,831,4,35,99,102,30.23,54.14,0.26,2.28,6.45,6.64
Kilrea,95JJ12W1,2090,708,1103,0,57,86,136,33.88,52.78,0,2.73,4.11,6.51
Knocklynn 1,95JJ13S1,1597,535,856,1,64,92,49,33.5,53.6,0.06,4.01,5.76,3.07
Knocklynn 2,95JJ13S2,1427,384,867,0,41,73,62,26.91,60.76,0,2.87,5.12,4.34
Macosquin,95JJ14W1,1837,519,1085,0,43,68,122,28.25,59.06,0,2.34,3.7,6.64
Mount Sandel,95JJ15W1,1604,481,823,2,50,78,170,29.99,51.31,0.12,3.12,4.86,10.6
Portstewart,95JJ16W1,1560,597,590,4,66,134,169,38.27,37.82,0.26,4.23,8.59,10.83
Ringsend,95JJ17W1,1885,565,1112,0,38,64,106,29.97,58.99,0,2.02,3.4,5.62
Royal Portrush,95JJ18W1,1762,660,698,2,60,169,173,37.46,39.61,0.11,3.41,9.59,9.82
Strand 1 (Coleraine LGD),95JJ19S1,1459,595,670,2,29,59,104,40.78,45.92,0.14,1.99,4.04,7.13
Strand 2 (Coleraine LGD),95JJ19S2,1121,643,372,1,15,36,54,57.36,33.18,0.09,1.34,3.21,4.82
The Cuts 1,95JJ20S1,1669,504,924,0,55,116,70,30.2,55.36,0,3.3,6.95,4.19
The Cuts 2,95JJ20S2,1588,466,850,0,57,115,100,29.35,53.53,0,3.59,7.24,6.3
University,95JJ21W1,2479,1357,768,2,59,150,143,54.74,30.98,0.08,2.38,6.05,5.77
Waterside,95JJ22W1,2268,589,1356,0,53,108,162,25.97,59.79,0,2.34,4.76,7.14
Ardboe,95KK01W1,1968,676,1046,1,84,52,109,34.35,53.15,0.05,4.27,2.64,5.54
Coagh,95KK02W1,1595,491,872,1,59,60,112,30.78,54.67,0.06,3.7,3.76,7.02
Dunnamore,95KK03W1,1754,648,945,0,25,33,103,36.94,53.88,0,1.43,1.88,5.87
Gortalowry,95KK04W1,2126,858,980,7,84,112,85,40.36,46.1,0.33,3.95,5.27,4
Killycolpy,95KK05W1,2020,750,1044,2,58,45,121,37.13,51.68,0.1,2.87,2.23,5.99
Killymoon,95KK06W1,1527,569,722,0,55,90,91,37.26,47.28,0,3.6,5.89,5.96
Lissan,95KK07W1,1583,485,922,0,38,41,97,30.64,58.24,0,2.4,2.59,6.13
Moneymore,95KK08W1,1985,607,1073,2,84,84,135,30.58,54.06,0.1,4.23,4.23,6.8
Newbuildings,95KK09W1,1776,685,733,4,90,126,138,38.57,41.27,0.23,5.07,7.09,7.77
Oaklands,95KK10W1,1654,558,927,0,33,45,91,33.74,56.05,0,2,2.72,5.5
Oldtown,95KK11W1,1864,669,841,2,98,129,125,35.89,45.12,0.11,5.26,6.92,6.71
Pomeroy,95KK12W1,1781,690,868,1,54,69,99,38.74,48.74,0.06,3.03,3.87,5.56
Sandholes,95KK13W1,1468,482,809,0,28,58,91,32.83,55.11,0,1.91,3.95,6.2
Stewartstown,95KK14W1,1612,616,793,0,53,61,89,38.21,49.19,0,3.29,3.78,5.52
The Loop,95KK15W1,2189,767,1195,1,50,65,111,35.04,54.59,0.05,2.28,2.97,5.07
Tullagh,95KK16W1,1817,689,796,1,58,104,169,37.92,43.81,0.06,3.19,5.72,9.3
Aghagallon 1,95LL01S1,1887,613,1092,0,40,57,85,32.49,57.87,0,2.12,3.02,4.5
Aghagallon 2,95LL01S2,1802,616,1027,2,35,53,69,34.18,56.99,0.11,1.94,2.94,3.83
Annagh 1,95LL02S1,1244,379,684,3,40,61,77,30.47,54.98,0.24,3.22,4.9,6.19
Annagh 2,95LL02S2,1205,540,357,3,64,133,108,44.81,29.63,0.25,5.31,11.04,8.96
Ballybay,95LL03W1,1884,677,790,2,99,169,147,35.93,41.93,0.11,5.25,8.97,7.8
Ballyoran,95LL04W1,2335,894,1030,1,104,93,213,38.29,44.11,0.04,4.45,3.98,9.12
Bleary 1,95LL05S1,1820,474,1137,2,36,77,94,26.04,62.47,0.11,1.98,4.23,5.16
Bleary 2,95LL05S2,1362,415,782,0,41,58,66,30.47,57.42,0,3.01,4.26,4.85
Brownstown 1,95LL06S1,1286,416,662,0,38,94,76,32.35,51.48,0,2.95,7.31,5.91
Brownstown 2,95LL06S2,1448,441,704,0,49,114,140,30.46,48.62,0,3.38,7.87,9.67
Church,95LL07W1,1727,660,609,1,93,174,190,38.22,35.26,0.06,5.39,10.08,11
Corcrain 1,95LL08S1,1219,545,432,0,74,93,75,44.71,35.44,0,6.07,7.63,6.15
Corcrain 2,95LL08S2,1334,642,357,2,108,123,102,48.13,26.76,0.15,8.1,9.22,7.65
Court 1,95LL09S1,1178,540,358,0,83,98,99,45.84,30.39,0,7.05,8.32,8.4
Court 2,95LL09S2,1379,513,483,0,85,106,192,37.2,35.03,0,6.16,7.69,13.92
Derrytrasna 1,95LL10S1,2306,801,1269,0,85,66,85,34.74,55.03,0,3.69,2.86,3.69
Derrytrasna 2,95LL10S2,1835,649,1011,1,52,46,76,35.37,55.1,0.05,2.83,2.51,4.14
Donaghcloney 1,95LL11S1,1226,346,706,0,43,62,69,28.22,57.59,0,3.51,5.06,5.63
Donaghcloney 2,95LL11S2,1822,468,1184,0,41,56,73,25.69,64.98,0,2.25,3.07,4.01
Drumgask 1,95LL12S1,2080,872,864,2,122,140,80,41.92,41.54,0.1,5.87,6.73,3.85
Drumgask 2,95LL12S2,915,406,324,1,57,66,61,44.37,35.41,0.11,6.23,7.21,6.67
Drumgor 1,95LL13S1,1066,394,486,8,53,74,51,36.96,45.59,0.75,4.97,6.94,4.78
Drumgor 2,95LL13S2,1030,390,417,2,62,102,57,37.86,40.49,0.19,6.02,9.9,5.53
Drumnamoe 1,95LL14S1,1017,429,385,1,53,76,73,42.18,37.86,0.1,5.21,7.47,7.18
Drumnamoe 2,95LL14S2,1123,405,548,0,45,50,75,36.06,48.8,0,4.01,4.45,6.68
Edenderry 1,95LL15S1,1201,386,549,0,41,89,136,32.14,45.71,0,3.41,7.41,11.32
Edenderry 2,95LL15S2,1330,370,693,2,42,95,128,27.82,52.11,0.15,3.16,7.14,9.62
Kernan 1,95LL16S1,2158,588,1278,2,71,103,116,27.25,59.22,0.09,3.29,4.77,5.38
Kernan 2,95LL16S2,2551,893,1274,2,92,182,108,35.01,49.94,0.08,3.61,7.13,4.23
Killycomain,95LL17W1,2106,626,1081,0,75,159,165,29.72,51.33,0,3.56,7.55,7.83
Knocknashane 1,95LL18S1,1574,406,897,2,54,83,132,25.79,56.99,0.13,3.43,5.27,8.39
Knocknashane 2,95LL18S2,1142,320,690,0,26,38,68,28.02,60.42,0,2.28,3.33,5.95
Magheralin 1,95LL19S1,1767,460,1070,2,56,78,101,26.03,60.55,0.11,3.17,4.41,5.72
Magheralin 2,95LL19S2,2208,659,1250,6,75,118,100,29.85,56.61,0.27,3.4,5.34,4.53
Mourneview,95LL20W1,1897,669,891,0,108,114,115,35.27,46.97,0,5.69,6.01,6.06
Parklake,95LL21W1,3060,1080,1396,4,137,186,257,35.29,45.62,0.13,4.48,6.08,8.4
Taghnevan,95LL22W1,2827,1168,1211,1,141,174,132,41.32,42.84,0.04,4.99,6.15,4.67
Tavanagh,95LL23W1,1733,619,728,2,69,142,173,35.72,42.01,0.12,3.98,8.19,9.98
The Birches 1,95LL24S1,1561,495,896,4,50,52,64,31.71,57.4,0.26,3.2,3.33,4.1
The Birches 2,95LL24S2,1332,462,697,1,37,28,107,34.68,52.33,0.08,2.78,2.1,8.03
Waringstown 1,95LL25S1,1995,597,1125,3,50,101,119,29.92,56.39,0.15,2.51,5.06,5.96
Waringstown 2,95LL25S2,1556,407,973,2,35,69,70,26.16,62.53,0.13,2.25,4.43,4.5
Woodville 1,95LL26S1,1294,604,427,1,92,108,62,46.68,33,0.08,7.11,8.35,4.79
Woodville 2,95LL26S2,1681,593,886,2,64,60,76,35.28,52.71,0.12,3.81,3.57,4.52
Altnagelvin 1,95MM01S1,1182,496,425,3,83,92,83,41.96,35.96,0.25,7.02,7.78,7.02
Altnagelvin 2,95MM01S2,1313,497,624,10,63,61,58,37.85,47.52,0.76,4.8,4.65,4.42
Altnagelvin 3,95MM01S3,1302,414,723,1,47,64,53,31.8,55.53,0.08,3.61,4.92,4.07
Ballynashallog 1,95MM02S1,1365,489,639,0,48,52,137,35.82,46.81,0,3.52,3.81,10.04
Ballynashallog 2,95MM02S2,1373,460,791,0,33,32,57,33.5,57.61,0,2.4,2.33,4.15
Banagher,95MM03W1,2617,914,1423,2,86,48,144,34.93,54.38,0.08,3.29,1.83,5.5
Beechwood,95MM04W1,1822,768,668,5,110,112,159,42.15,36.66,0.27,6.04,6.15,8.73
Brandywell,95MM05W1,1955,982,500,1,189,124,159,50.23,25.58,0.05,9.67,6.34,8.13
Carn Hill 1,95MM06S1,1071,451,412,0,79,58,71,42.11,38.47,0,7.38,5.42,6.63
Carn Hill 2,95MM06S2,944,428,313,0,77,60,66,45.34,33.16,0,8.16,6.36,6.99
Caw,95MM07W1,2105,779,846,4,86,191,199,37.01,40.19,0.19,4.09,9.07,9.45
Clondermot 1,95MM08S1,1033,448,354,0,70,84,77,43.37,34.27,0,6.78,8.13,7.45
Clondermot 2,95MM08S2,1375,445,718,0,36,75,101,32.36,52.22,0,2.62,5.45,7.35
Claudy 1,95MM09S1,1176,400,586,0,59,53,78,34.01,49.83,0,5.02,4.51,6.63
Claudy 2,95MM09S2,1487,513,800,0,40,47,87,34.5,53.8,0,2.69,3.16,5.85
Creggan Central 1,95MM10S1,1021,565,244,0,112,53,47,55.34,23.9,0,10.97,5.19,4.6
Creggan Central 2,95MM10S2,1005,471,336,4,84,55,55,46.87,33.43,0.4,8.36,5.47,5.47
Creggan South,95MM11W1,1736,846,489,0,161,107,133,48.73,28.17,0,9.27,6.16,7.66
Crevagh 1,95MM12S1,1487,622,665,1,75,71,53,41.83,44.72,0.07,5.04,4.77,3.56
Crevagh 2,95MM12S2,917,483,214,0,87,86,47,52.67,23.34,0,9.49,9.38,5.13
Crevagh 3,95MM12S3,1769,852,661,0,113,92,51,48.16,37.37,0,6.39,5.2,2.88
Culmore 1,95MM13S1,925,303,534,0,26,33,29,32.76,57.73,0,2.81,3.57,3.14
Culmore 2,95MM13S2,906,438,264,0,93,67,44,48.34,29.14,0,10.26,7.4,4.86
Culmore 3,95MM13S3,1105,512,381,0,95,75,42,46.33,34.48,0,8.6,6.79,3.8
Culmore 4,95MM13S4,1728,650,808,0,106,89,75,37.62,46.76,0,6.13,5.15,4.34
Culmore 5,95MM13S5,1556,494,917,0,53,51,41,31.75,58.93,0,3.41,3.28,2.63
Ebrington 1,95MM14S1,710,249,275,0,34,44,108,35.07,38.73,0,4.79,6.2,15.21
Ebrington 2,95MM14S2,1387,693,372,2,70,123,127,49.96,26.82,0.14,5.05,8.87,9.16
Eglinton 1,95MM15S1,1441,441,785,0,38,66,111,30.6,54.48,0,2.64,4.58,7.7
Eglinton 2,95MM15S2,1917,623,1031,1,88,94,80,32.5,53.78,0.05,4.59,4.9,4.17
Enagh 1 (Derry LGD),95MM16S1,1748,731,706,0,105,116,90,41.82,40.39,0,6.01,6.64,5.15
Enagh 2 (Derry LGD),95MM16S2,2461,792,1355,3,92,141,78,32.18,55.06,0.12,3.74,5.73,3.17
Foyle Springs 1,95MM17S1,1563,587,806,2,68,54,46,37.56,51.57,0.13,4.35,3.45,2.94
Foyle Springs 2,95MM17S2,1466,622,556,2,89,108,89,42.43,37.93,0.14,6.07,7.37,6.07
Holly Mount 1,95MM18S1,1711,639,878,0,55,55,84,37.35,51.32,0,3.21,3.21,4.91
Holly Mount 2,95MM18S2,2139,804,1095,2,93,95,50,37.59,51.19,0.09,4.35,4.44,2.34
Kilfennan 1,95MM19S1,1337,441,701,0,38,69,88,32.98,52.43,0,2.84,5.16,6.58
Kilfennan 2,95MM19S2,1141,502,465,4,54,77,39,44,40.75,0.35,4.73,6.75,3.42
Lisnagelvin 1,95MM20S1,1313,422,622,0,53,107,109,32.14,47.37,0,4.04,8.15,8.3
Lisnagelvin 2,95MM20S2,1441,464,686,0,53,109,129,32.2,47.61,0,3.68,7.56,8.95
New Buildings 1,95MM21S1,1275,437,627,0,43,77,91,34.27,49.18,0,3.37,6.04,7.14
New Buildings 2,95MM21S2,1437,465,798,2,46,46,80,32.36,55.53,0.14,3.2,3.2,5.57
Pennyburn 1,95MM22S1,1020,386,461,2,44,38,89,37.84,45.2,0.2,4.31,3.73,8.73
Pennyburn 2,95MM22S2,1097,355,563,1,34,41,103,32.36,51.32,0.09,3.1,3.74,9.39
Rosemount,95MM23W1,2143,1143,598,5,128,135,134,53.34,27.9,0.23,5.97,6.3,6.25
Shantallow East,95MM24W1,1928,853,692,3,125,119,136,44.24,35.89,0.16,6.48,6.17,7.05
