SOA,SOA Code,All usual residents: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years,Married: Aged 16+ years,In a registered same-sex civil partnership: Aged 16+ years,Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years,Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years,Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years (%),Married: Aged 16+ years (%),In a registered same-sex civil partnership: Aged 16+ years (%),Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years (%),Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years (%),Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years (%)
Randalstown 1,95AA13S1,1330,465,659,0,57,77,72,34.96,49.55,0,4.29,5.79,5.41
Randalstown 2,95AA13S2,1198,397,592,0,51,81,77,33.14,49.42,0,4.26,6.76,6.43
Shilvodan,95AA14W1,1852,526,1119,1,35,48,123,28.4,60.42,0.05,1.89,2.59,6.64
Springfarm 1,95AA15S1,2016,710,1045,0,94,108,59,35.22,51.84,0,4.66,5.36,2.93
Springfarm 2,95AA15S2,1134,466,447,1,66,109,45,41.09,39.42,0.09,5.82,9.61,3.97
Steeple,95AA16W1,1463,548,604,0,80,131,100,37.46,41.29,0,5.47,8.95,6.84
Stiles,95AA17W1,1669,589,753,2,84,151,90,35.29,45.12,0.12,5.03,9.05,5.39
Templepatrick,95AA18W1,2063,530,1230,2,51,88,162,25.69,59.62,0.1,2.47,4.27,7.85
Toome,95AA19W1,2006,766,1021,2,54,52,111,38.19,50.9,0.1,2.69,2.59,5.53
Ballygowan 1,95BB01S1,1242,347,738,2,24,62,69,27.94,59.42,0.16,1.93,4.99,5.56
Ballygowan 2,95BB01S2,1595,457,938,0,56,72,72,28.65,58.81,0,3.51,4.51,4.51
Ballyrainey,95BB02W1,2020,642,860,2,97,184,235,31.78,42.57,0.1,4.8,9.11,11.63
Ballywalter 1,95BB03S1,1614,452,839,4,71,114,134,28,51.98,0.25,4.4,7.06,8.3
Ballywalter 2,95BB03S2,1788,464,1048,0,52,111,113,25.95,58.61,0,2.91,6.21,6.32
Bradshaw's Brae 1,95BB04S1,1258,349,676,0,31,105,97,27.74,53.74,0,2.46,8.35,7.71
Bradshaw's Brae 2,95BB04S2,1356,301,862,2,31,56,104,22.2,63.57,0.15,2.29,4.13,7.67
Carrowdore 1,95BB05S1,1209,290,773,2,27,51,66,23.99,63.94,0.17,2.23,4.22,5.46
Carrowdore 2,95BB05S2,1550,431,900,0,44,86,89,27.81,58.06,0,2.84,5.55,5.74
Central (Ards LGD),95BB06W1,2484,940,876,8,130,255,275,37.84,35.27,0.32,5.23,10.27,11.07
Comber East 1,95BB07S1,1390,461,516,0,81,143,189,33.17,37.12,0,5.83,10.29,13.6
Comber East 2,95BB07S2,1055,285,629,0,23,55,63,27.01,59.62,0,2.18,5.21,5.97
Comber North 1,95BB08S1,1085,327,497,0,40,113,108,30.14,45.81,0,3.69,10.41,9.95
Comber North 2,95BB08S2,1017,250,656,0,27,44,40,24.58,64.5,0,2.65,4.33,3.93
Comber West 1,95BB09S1,1129,251,680,0,30,71,97,22.23,60.23,0,2.66,6.29,8.59
Comber West 2,95BB09S2,1378,413,759,4,30,92,80,29.97,55.08,0.29,2.18,6.68,5.81
Donaghadee North 1,95BB10S1,1462,436,635,0,77,147,167,29.82,43.43,0,5.27,10.05,11.42
Donaghadee North 2,95BB10S2,1366,310,892,0,31,52,81,22.69,65.3,0,2.27,3.81,5.93
Donaghadee South 1,95BB11S1,1122,340,521,0,60,128,73,30.3,46.43,0,5.35,11.41,6.51
Donaghadee South 2,95BB11S2,1358,362,686,2,44,96,168,26.66,50.52,0.15,3.24,7.07,12.37
