SOA,SOA Code,All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health
Scrabo 2,95BB22S2,1483,603,490,277,87,26
Whitespots 1,95BB23S1,1540,687,579,218,53,3
Whitespots 2,95BB23S2,1485,728,507,209,33,8
Abbey Park,95CC01W1,2558,1166,788,423,149,32
Ballymartrim,95CC02W1,2725,1514,769,326,98,18
Callan Bridge,95CC03W1,2817,1256,906,456,158,41
Carrigatuke,95CC04W1,2440,1323,664,345,86,22
Charlemont,95CC05W1,2774,1415,790,422,119,28
Demesne 1,95CC06S1,1468,783,472,158,37,18
Demesne 2,95CC06S2,1308,644,413,197,45,9
Derrynoose,95CC07W1,3475,1943,1000,415,92,25
Downs,95CC08W1,2565,1274,727,377,151,36
Hamiltonsbawn 1,95CC09S1,1496,815,470,175,28,8
Hamiltonsbawn 2,95CC09S2,1858,900,707,209,33,9
Hockley,95CC10W1,2577,1308,785,361,100,23
Keady,95CC11W1,1795,768,545,357,96,29
Killeen,95CC12W1,2785,1484,822,384,77,18
Killylea,95CC13W1,2474,1348,709,324,77,16
Laurelvale,95CC14W1,3035,1506,975,425,109,20
Loughgall,95CC15W1,2903,1501,859,392,119,32
Markethill,95CC16W1,2820,1309,926,460,100,25
Milford,95CC17W1,2730,1516,784,336,77,17
Observatory,95CC18W1,2342,1115,771,357,80,19
Poyntz Pass,95CC19W1,2720,1422,817,363,94,24
Rich Hill 1,95CC20S1,1308,714,413,137,39,5
Rich Hill 2,95CC20S2,1702,814,585,239,50,14
Tandragee,95CC21W1,2925,1393,931,441,135,25
The Mall,95CC22W1,1740,696,620,338,71,15
Academy,95DD01W1,2099,972,722,317,72,16
Ahoghill 1,95DD02S1,1453,671,490,223,60,9
Ahoghill 2,95DD02S2,2435,1324,795,253,57,6
Ardeevin,95DD03W1,3503,1737,1288,396,69,13
Ballee,95DD04W1,1926,719,657,376,138,36
Ballykeel,95DD05W1,1739,682,645,310,83,19
Ballyloughan,95DD06W1,2588,1137,921,410,95,25
Broughshane 1,95DD07S1,1596,689,540,293,59,15
Broughshane 2,95DD07S2,1767,874,588,249,44,12
Castle Demesne,95DD08W1,2126,728,812,435,117,34
Craigywarren,95DD09W1,2590,1379,804,325,69,13
Cullybackey,95DD10W1,2805,1272,953,458,107,15
Dunclug,95DD11W1,2363,1049,846,364,82,22
Dunminning,95DD12W1,2610,1289,864,367,71,19
Fair Green,95DD13W1,1784,739,648,313,68,16
Galgorm 1,95DD14S1,1603,781,567,202,44,9
Galgorm 2,95DD14S2,1674,932,556,161,20,5
Glenravel,95DD15W1,3451,1958,1033,356,86,18
Glenwhirry,95DD16W1,2981,1517,957,395,90,22
Grange,95DD17W1,3461,1884,1076,397,83,21
